Date,MMM,AOS,ABT,ABBV,ACN
2023-08-28,88.05184173583984,69.93000030517578,105.06999969482422,147.08999633789062,318.760009765625
2023-08-29,87.7842788696289,70.5199966430664,103.23999786376953,147.99000549316406,320.3900146484375
2023-08-30,88.20233917236328,71.91000366210938,104.08000183105469,148.1199951171875,323.80999755859375
2023-08-31,88.57859802246094,72.54000091552734,104.5199966430664,148.38999938964844,324.8699951171875
2023-09-01,89.7157211303711,72.86000061035156,103.4000015258789,147.36000061035156,326.04998779296875
2023-09-05,89.29766082763672,73.30000305175781,102.77999877929688,148.5,327.739990234375
2023-09-06,89.06354522705078,71.93000030517578,101.01000213623047,146.10000610351562,324.25
2023-09-07,88.77926635742188,71.68000030517578,101.98999786376953,146.14999389648438,323.8999938964844
2023-09-08,88.69564819335938,71.61000061035156,100.5999984741211,149.0,329.5299987792969
2023-09-11,89.46488189697266,70.62999725341797,100.80000305175781,148.86000061035156,327.489990234375
2023-09-12,89.92475128173828,70.0,102.37000274658203,149.5,321.45001220703125
2023-09-13,89.58193969726562,68.1500015258789,102.06999969482422,149.4199981689453,314.2300109863281
2023-09-14,84.94983673095703,67.56999969482422,103.22000122070312,152.00999450683594,315.6300048828125
2023-09-15,85.19230651855469,67.38999938964844,102.8499984741211,152.77999877929688,316.2300109863281
2023-09-18,84.49832916259766,66.87000274658203,102.06999969482422,153.0800018310547,312.0
2023-09-19,84.4565200805664,66.87999725341797,101.37999725341797,153.88999938964844,311.1000061035156
2023-09-20,83.65384674072266,67.33999633789062,101.19000244140625,154.05999755859375,318.75
2023-09-21,82.39966583251953,66.02999877929688,100.0,153.67999267578125,314.3299865722656
2023-09-22,81.59699249267578,65.20999908447266,98.9000015258789,153.89999389648438,314.0400085449219
2023-09-25,80.74414825439453,64.37000274658203,97.97000122070312,152.44000244140625,315.55999755859375
2023-09-26,78.89632415771484,64.30000305175781,97.05000305175781,154.39999389648438,312.7200012207031
2023-09-27,78.70401000976562,65.91000366210938,96.58999633789062,153.83999633789062,312.2099914550781
2023-09-28,77.8010025024414,65.98999786376953,96.27999877929688,153.63999938964844,301.75
2023-09-29,78.59532165527344,66.79000091552734,98.44999694824219,152.4600067138672,304.3500061035156
2023-10-02,77.466552734375,65.9000015258789,95.76000213623047,148.47000122070312,307.57000732421875
2023-10-03,75.04180908203125,65.76000213623047,95.5199966430664,147.8300018310547,307.05999755859375
2023-10-04,74.08026885986328,65.68000030517578,95.88999938964844,146.57000732421875,310.739990234375
2023-10-05,73.57859802246094,66.31999969482422,95.76000213623047,147.92999267578125,308.80999755859375
2023-10-06,73.07691955566406,66.0,95.80999755859375,146.49000549316406,308.2799987792969
2023-10-09,73.63712310791016,66.52999877929688,96.41000366210938,148.27000427246094,309.82000732421875
2023-10-10,75.25083923339844,69.94000244140625,96.81999969482422,149.38999938964844,313.3599853515625
2023-10-11,75.91973114013672,69.26000213623047,97.16000366210938,149.1300048828125,312.32000732421875
2023-10-12,75.69397735595703,70.98999786376953,92.25,148.1300048828125,311.7900085449219
2023-10-13,74.58193969726562,70.25,89.87999725341797,148.9499969482422,302.29998779296875
2023-10-16,74.34782409667969,70.98999786376953,91.0999984741211,148.22000122070312,304.0199890136719
2023-10-17,74.55685424804688,71.5199966430664,91.94999694824219,147.3300018310547,302.7799987792969
2023-10-18,75.0167236328125,70.73999786376953,96.0,149.27000427246094,306.7200012207031
2023-10-19,73.57859802246094,68.3499984741211,96.54000091552734,148.5500030517578,304.92999267578125
2023-10-20,72.5,67.02999877929688,95.25,145.27999877929688,302.3800048828125
2023-10-23,71.90635681152344,66.58999633789062,96.87999725341797,146.16000366210938,295.0
2023-10-24,75.34281158447266,66.94000244140625,95.4000015258789,145.14999389648438,296.2699890136719
2023-10-25,74.74916076660156,65.61000061035156,94.55999755859375,146.11000061035156,293.5299987792969
2023-10-26,75.05016326904297,66.44000244140625,93.05999755859375,144.86000061035156,293.80999755859375
2023-10-27,74.51505279541016,69.66000366210938,94.75,138.77000427246094,291.92999267578125
2023-10-30,73.6287612915039,68.70999908447266,93.52999877929688,140.6699981689453,291.739990234375
2023-10-31,74.81605529785156,69.55999755859375,93.9000015258789,142.08999633789062,293.0799865722656
2023-11-01,76.22073364257812,70.08000183105469,94.8499984741211,141.86000061035156,298.1700134277344
2023-11-02,76.58863067626953,71.94000244140625,94.9800033569336,141.30999755859375,303.6700134277344
2023-11-03,78.19397735595703,72.25,97.0,143.9499969482422,309.6400146484375
2023-11-06,78.45317840576172,71.51000213623047,95.55000305175781,141.88999938964844,312.32000732421875
2023-11-07,77.69230651855469,70.7300033569336,94.93000030517578,141.52000427246094,313.0
2023-11-08,78.09364318847656,70.91000366210938,95.22000122070312,143.44000244140625,316.8699951171875
2023-11-09,77.40802764892578,71.41999816894531,94.87999725341797,141.0,317.2799987792969
2023-11-10,76.92308044433594,71.9000015258789,93.69999694824219,138.64999389648438,315.5400085449219
2023-11-13,77.50836181640625,72.41000366210938,95.66999816894531,138.58999633789062,316.010009765625
2023-11-14,78.59532165527344,74.58999633789062,96.31999969482422,138.92999267578125,319.82000732421875
2023-11-15,79.79933166503906,76.0,97.37000274658203,138.25,319.6199951171875
2023-11-16,80.17558288574219,75.08999633789062,97.72000122070312,138.27999877929688,327.1000061035156
2023-11-17,80.48494720458984,76.12999725341797,100.43000030517578,138.36000061035156,327.6600036621094
2023-11-20,79.44815826416016,76.02999877929688,98.94999694824219,137.52999877929688,326.4599914550781
2023-11-21,79.11370849609375,75.91000366210938,101.47000122070312,138.72999572753906,331.29998779296875
