Date,MMM,AOS,ABT,ABBV,ACN
2024-02-20,5174614,1040500,9601100,5484100,1631000
2024-02-21,4065563,781200,6144600,3819100,1758000
2024-02-22,5083837,843000,4916100,4852300,1614600
2024-02-23,3774217,788500,4261300,3941800,1614500
2024-02-26,3914388,681300,3483100,4327400,1455000
2024-02-27,2736807,751300,3203300,3888500,1083200
2024-02-28,3543030,870700,3383800,4331300,1264200
2024-02-29,6169446,1464800,6135200,7485700,3329500
2024-03-01,4064128,1204900,3898600,4028700,2109900
2024-03-04,6678703,1016500,3164000,4723600,1642900
2024-03-05,5251636,990000,3502300,5309800,1539400
2024-03-06,3591349,674700,3388700,6047100,1451200
2024-03-07,3751613,914100,4200800,6125200,1564300
2024-03-08,4925846,627400,3357100,6195600,1641100
2024-03-11,4206571,699400,3886000,5134800,2220000
2024-03-12,16737302,658700,3079700,5391100,1793700
2024-03-13,12935338,810300,3421700,5987900,1635800
2024-03-14,8282539,941300,4952200,6999400,1706700
2024-03-15,32098966,2636400,22413200,20957800,3865400
2024-03-18,6622491,1064200,12991000,8569000,2164400
2024-03-19,6987869,773200,8299200,7625600,2062800
2024-03-20,8390299,563900,8317300,7326600,2877600
2024-03-21,7886663,758300,9722700,5743600,9574800
2024-03-22,5321243,1008400,5387100,4084000,5899300
2024-03-25,6680019,747900,6622400,4366400,5320000
2024-03-26,7279693,892400,7770600,4392400,3006500
2024-03-27,4641676,776300,7533400,5073500,3295200
2024-03-28,5245776,1003700,5278000,5418700,3614900
2024-04-01,13004800,676200,3964000,3502100,2320200
2024-04-02,8912000,921100,4560700,4523800,2453300
2024-04-03,6060200,899000,4409900,5893000,1975700
2024-04-04,5864200,1036500,4799700,10539000,2273000
2024-04-05,3513600,921500,5590300,7029700,3694700
2024-04-08,3706700,902700,5810500,4745000,2431900
2024-04-09,4237700,1251600,4235700,5934000,2416600
2024-04-10,3494900,1002800,3965500,3231700,2156700
2024-04-11,2993700,901800,4321500,3307000,2204200
2024-04-12,3590100,1178400,4041500,7029400,4207400
2024-04-15,3674800,770900,4595600,5433700,2997900
2024-04-16,3037000,886900,7283900,4881300,2900300
2024-04-17,3421600,1686700,12002900,4792200,2760000
2024-04-18,3069400,1199500,7306400,4480100,3025100
2024-04-19,3588000,1134600,10521800,5532400,3381500
2024-04-22,2992900,1268000,4948300,5580700,2433300
2024-04-23,3729800,695200,3849600,4084100,2000300
2024-04-24,3813400,1267300,5052700,4074700,4133800
2024-04-25,2954800,2381000,3112300,5503700,3639000
2024-04-26,4520900,1316200,3575600,10721700,3371800
2024-04-29,4905000,1479000,3305100,6219000,4719100
2024-04-30,16731900,1545500,5074000,5484800,5225000
2024-05-01,11062600,973900,4096800,5176400,2617200
2024-05-02,6317100,734400,3708500,5904300,2684200
2024-05-03,4818500,558200,3610300,5849900,2767100
2024-05-06,4329500,567900,3789500,5834600,2361300
2024-05-07,4409000,559200,6556400,5301700,2483600
2024-05-08,3489900,500200,6234700,5906700,2296400
2024-05-09,2584200,674100,5902000,3570000,3238100
2024-05-10,4157900,459800,7349600,3509500,1786900
2024-05-13,5578700,514600,5459200,3505900,1695000
2024-05-14,2973100,508800,7035100,4025000,1813600
2024-05-15,4203300,691300,5443200,5261300,4230800
2024-05-16,8384500,770700,8708300,4642000,2583100
2024-05-17,5396500,634900,7004600,5152200,4232000
2024-05-20,3962700,664700,7165900,3058700,2418000
2024-05-21,4603000,717100,4391600,3645200,1866500
2024-05-22,3807800,791000,5933400,6904900,2432400
2024-05-23,3845500,635000,5862200,5672900,2526100
2024-05-24,2602000,590100,4455600,3689900,2048200
2024-05-28,4360900,872500,4771100,5533500,3530200
2024-05-29,4826600,1391100,4960900,4254500,4480000
2024-05-30,4520300,864600,5126700,4311100,5007800
2024-05-31,21754400,2391400,7915700,15664400,6882000
2024-06-03,4508100,755300,4915100,4467800,3596600
2024-06-04,4988100,814200,3880400,4215500,3498600
2024-06-05,3115400,520300,3302300,5100500,3002200
2024-06-06,2510000,568200,9835500,5186700,2363200
2024-06-07,5636700,526300,8666600,3781700,2626900
2024-06-10,3507600,450300,8556500,4247500,2509900
2024-06-11,2831500,466600,7536000,3790200,2457600
2024-06-12,3704600,712000,4569000,4725600,3749600
2024-06-13,5034700,687900,4719500,3690800,3119200
2024-06-14,2685000,699600,3683100,4377600,2966200
2024-06-17,3490000,714800,3936200,4076000,3559600
2024-06-18,3446200,782100,4501000,4250900,5314900
2024-06-20,3476600,643900,9154900,5847500,11374600
2024-06-21,7866200,1486400,10329100,12308100,8481800
2024-06-24,2948000,928600,5201300,6249900,4399600
2024-06-25,5164200,922500,4722600,5712700,4498700
2024-06-26,2356100,876900,5406600,5576100,3162100
2024-06-27,4338300,868500,4137600,5382000,3162000
2024-06-28,6196500,1378400,8283600,24463400,14905500
2024-07-01,2705600,623200,4588900,5194500,2411100
2024-07-02,2291300,1028800,3650500,5965500,2177200
2024-07-03,1230800,539800,2017800,3527600,1751200
2024-07-05,3059600,1190100,6582700,5978300,3158900
2024-07-08,2338700,726800,4542000,3500200,2557700
2024-07-09,2809300,968600,6268500,4224600,2479200
2024-07-10,4519500,1014100,6598900,3887800,2283500
2024-07-11,4581100,1004700,5025300,3689500,2988000
2024-07-12,3381000,999000,4277600,4133500,3951600
2024-07-15,3316600,1154700,4970800,2395100,3866200
2024-07-16,3609000,1338300,7656900,3829500,3640500
2024-07-17,3567900,850900,13438300,6983200,4383900
2024-07-18,3023800,1025900,13078800,5957800,4563600
2024-07-19,2884900,1038600,11963600,4293600,5376200
2024-07-22,2686600,1138800,7880300,4066900,3419300
2024-07-23,2172600,2721300,5894500,2933800,1994000
2024-07-24,3252000,2167100,8680900,6117700,3286500
2024-07-25,4598100,1505600,6356600,9442200,2764500
2024-07-26,32748900,1149800,8611600,6948800,2438200
2024-07-29,10816700,1059000,19452700,5458500,1629200
2024-07-30,6746500,881100,9126300,6032200,1985400
2024-07-31,6889900,1746400,8238400,6473900,2606300
2024-08-01,5563700,874700,9069200,6595500,2538100
2024-08-02,4021400,1106000,9885700,6303900,2682700
2024-08-05,6669700,1243300,7121400,6459300,3186500
2024-08-06,4334300,860000,5634800,4273200,2284200
2024-08-07,3410100,1291700,6365100,6351000,2327700
2024-08-08,2932900,1075100,5476600,5744600,2213700
2024-08-09,3247700,628000,5435000,3206500,1851300
2024-08-12,2585800,698800,4795900,4808300,2276500
2024-08-13,3056600,679900,4920400,3477300,2269600
2024-08-14,3252800,652200,5822900,4153400,1404600
2024-08-15,3359900,735100,7458500,4719900,2271600
2024-08-16,3812600,834200,4643300,3674900,2292800
2024-08-19,2243600,584900,3495800,4309300,1678200
2024-08-20,2792900,605300,5822400,3631800,1790100
2024-08-21,3664600,573100,4081400,4250400,1233900
2024-08-22,2300400,627700,3690400,3676700,1679200
2024-08-23,2618800,562300,4511600,4720300,1518700
2024-08-26,3914100,562100,3212700,4182300,1692200
2024-08-27,1413390,182121,946639,834675,652895
